A
LXRX
LYB
M
MA
MAA
MAC
MAR
MAS
MCD
MCHP
MCK
MCO
MCRB
MDCO
MDGL
MDLZ
MDT
MEDP
MELI
MET
MGM
MGNX
MGTA
MHK
MKC
MKSI
MKTX
MLM
MMC
MMM
MNKD
MNOV
MNST
MNTA
MO
MOG-A
MOS
MPC
MPWR
MRCY
MRK
MRO
MRTX
MRVL
MS
MSCI
MSFT
MSI
MTB
MTD
MU
MXIM
MYGN
MYL
MYOK
NBIX
NBL
NCLH
NDAQ
NEE
NEM
NERV
NFLX
NI
NKE
NKTR
NLSN
NOC
NOV
NPK
NRG
NSC
NSTG
NTAP
NTES
NTLA
NTRA
NTRS
NUE
NVAX
NVCR
NVDA
NVR
NVTA
NWL
NWS
NWSA
NXPI
O
OCUL
OKE
OLED
OMC
OMER
ON
ONCE
OPK
OPTN
ORCL
ORLY
OXY
PACB
PAYX
PBCT
PBYI
PCAR
PCRX
PDLI
PEG
PEP
PETQ
PFE
PFG
PG
PGNX
PGR
PH
PHM
PKG
PKI
PLD
PM
PNC
PNR
PNW
PPG
PPL
PRAH
PRGO
PRQR
PRTA
PRTK
PRU
PSA
PSN
PSX
PTCT
PTI
PTLA
PVH
PWR
PXD
PYPL
QCOM
QRVO
QTRX
QURE
RARE
RARX
RCKT
RCL
RDUS
RE
REG
REGN
REPL
RETA
RF
RGEN
RGNX
RGR
RHI
RIGL
RJF
RL
RMD
ROK
ROL
ROLL
ROP
ROST
RSG
RTN
RTRX
RUBY
RVNC
RYTM
SAGE
SBAC
SBBP
SBUX
SCHW
SEE
SGEN
SGMO
SHW
SIGA
SIRI
SIVB
SJM
SLAB
SLB
SLDB
SLG
SMTC
SNA
SNPS
SO
SPG
SPGI
SPPI
SPR
SRE
SRPT
STI
STIM
STM
STML
STT
STX
STZ
SUPN
SURF
SVRA
SWK
SWKS
SYBX
SYF
SYK
SYMC
SYNH
SYRS
SYY
T
TAP
TBIO
TBPH
TCDA
TDG
TDY
TECH
TEL
TER
TFX
TGI
TGT
TGTX
TIF
TJX
TMO
TMUS
TOCA
TORC
TPR
TPTX
TRIP
TROW
TRV
TSCO
TSLA
TSM
TSN
TTWO
TWST
TWTR
TXMD
TXN
TXT
UA
UAA
UAL
UBX
UDR
UHS
ULTA
UMRX
UNH
UNM
UNP
UPS
URGN
URI
USB
UTHR
UTX
V
VAR
VCEL
VCYT
VFC
VIAB
VKTX
VLO
VMC
VNDA
VNO
VRSK
VRSN
VRTX
VSTM
VTR
VYGR
VZ
WAB
WAIR
WAT
WBA
WCG
WDAY
WDC
WEC
WELL
WFC
WHR
WLTW
WM
WMB
WMT
WRK
WU
WVE
WY
WYNN
XEC
XEL
XENE
XERS
XLNX
XLRN
XNCR
XOM
XON
XRAY
XRX
XYL
YUM
ZBH
ZFGN
ZGNX
ZION
ZIOP
ZLAB
ZTS
